date	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
Pennsylvania	41.3	37.8	37.6	37.3	38.3	40.0	38.5	37.4	36.5	36.0	39.8	35.3	35.1	38.2	35.3	33.2	30.4	24.9	24.2	23.4	24.8	23.0	22.1
Rhode Island	43.0	42.1	49.1	38.6	44.3	44.3	44.8	40.7	45.9	39.1	40.6	40.7	40.4	37.6	39.6	36.7	34.0	25.2	26.2	24.6	27.3	24.2	25.3
South Carolina	53.8	51.1	53.8	53.7	55.2	57.4	57.2	55.2	50.9	49.9	50.6	50.7	48.3	49.8	49.1	50.7	42.2	36.4	33.8	32.2	31.7	29.4	29.7
South Dakota	52.8	52.3	56.4	48.7	52.7	52.0	50.4	49.3	48.2	47.9	51.1	45.9	44.1	44.0	44.8	45.1	40.7	37.1	34.5	32.1	34.0	31.2	31.2
Tennessee	52.9	52.0	53.6	52.4	55.9	54.0	50.9	50.5	45.3	44.6	46.9	44.5	42.5	43.9	43.6	45.2	41.0	29.9	30.9	30.4	30.5	28.4	27.0
Texas	70.0	66.4	66.6	64.4	65.5	65.4	63.0	60.9	56.8	57.6	62.4	57.7	56.2	56.1	54.5	54.5	51.6	45.9	45.8	44.6	44.7	42.7	43.5
Utah	70.0	67.8	73.3	72.2	72.6	73.2	72.2	69.1	64.2	68.0	70.8	69.0	63.8	68.9	69.5	69.4	62.0	50.0	49.8	47.1	48.4	45.7	45.9
Vermont	52.4	51.3	50.6	51.2	53.4	51.9	50.1	45.6	42.2	38.0	44.8	42.4	39.4	38.8	39.7	40.0	32.5	31.7	26.7	27.3	32.4	27.2	25.3
Virginia	58.0	52.5	55.2	53.3	52.7	52.6	52.0	48.7	47.8	48.2	51.4	46.6	46.9	49.4	48.7	47.8	44.9	36.8	34.9	34.7	35.5	32.4	32.5
Washington	70.4	65.0	65.1	64.1	64.1	66.9	63.0	61.2	56.0	54.5	54.9	52.5	51.0	54.7	56.3	53.6	49.3	40.5	38.3	39.5	37.1	34.8	35.0
West Virginia	43.7	40.3	39.8	42.4	43.5	40.8	39.1	36.7	32.4	31.2	35.2	30.6	30.3	34.3	33.6	31.7	26.4	21.9	19.6	18.9	20.9	17.3	17.6
Wisconsin	45.0	45.8	44.9	44.3	45.2	45.5	45.1	41.9	39.8	40.0	42.4	38.6	37.6	38.9	39.0	36.4	31.5	25.8	24.7	23.6	24.4	23.2	23.8
Wyoming	62.9	67.1	66.9	62.2	65.3	62.7	65.9	58.5	58.3	57.6	68.0	55.4	52.4	56.2	58.6	57.9	52.5	48.2	39.0	40.9	44.4	39.9	38.4
US	57.3	54.5	55.3	53.9	55.1	55.9	54.5	52.3	49.9	50.0	52.6	49.2	48.8	50.2	49.4	48.5	44.4	36.4	36.0	35.4	35.9	33.5	34.2
