State	id	dynamism	foreignBorn
Alabama	1	25.5	3.20
Alaska	2	31	7.40
Arizona	4	39.9	13.70
Arkansas	5	24.8	4.70
California	6	40.9	27.10
Colorado	8	44.9	10.00
Connecticut	9	24.6	13.70
Delaware	10	35.7	8.60
District of Columbia	11	26.8	14.00
Florida	12	45	20.00
Georgia	13	36.9	9.90
Hawaii	15	23.5	17.60
Idaho	16	39.4	6.00
Illinois	17	27.5	13.90
Indiana	18	22.6	4.80
Iowa	19	23.1	4.90
Kansas	20	28.4	7.00
Kentucky	21	27.9	3.70
Louisiana	22	28.7	4.20
Maine	23	27.2	3.70
Maryland	24	30.2	14.90
Massachusetts	25	25.6	15.70
Michigan	26	24	6.40
Minnesota	27	31.9	7.80
Mississippi	28	21.9	2.20
Missouri	29	34.6	3.70
Montana	30	35.9	2.30
Nebraska	31	26.8	6.70
Nevada	32	50.5	19.40
New Hampshire	33	26.4	6.00
New Jersey	34	34.9	21.90
New Mexico	35	28.3	9.90
New York	36	33.9	22.60
North Carolina	37	32.8	7.70
North Dakota	38	44	3.30
Ohio	39	21.3	4.20
Oklahoma	40	33.2	5.80
Oregon	41	33	9.90
Pennsylvania	42	22.1	6.40
Rhode Island	44	25.3	13.40
South Carolina	45	29.7	4.70
South Dakota	46	31.2	2.90
Tennessee	47	27	4.90
Texas	48	43.5	16.80
Utah	49	45.9	8.50
Vermont	50	25.3	4.10
Virginia	51	32.5	12.10
Washington	53	35	13.40
West Virginia	54	17.6	1.40
Wisconsin	55	23.8	4.90
Wyoming	56	38.4	3.80
